RNAcentral:URS0000338542_9606	URS0000338542_9606	Homo sapiens (human) hsa-miR-155-5p
UniProtKB:Q12904	AIMP1	Aminoacyl tRNA synthase complex-interacting multifunctional protein 1
UniProtKB:P30044	PRDX5	Peroxiredoxin-5, mitochondrial
UniProtKB:O15318	POLR3G	DNA-directed RNA polymerase III subunit RPC7
UniProtKB:Q9BSJ1	TRIM51	Tripartite motif-containing protein 51
UniProtKB:P25090	FPR2	N-formyl peptide receptor 2
UniProtKB:P13686	ACP5	Tartrate-resistant acid phosphatase type 5
UniProtKB:P14316	IRF2	Interferon regulatory factor 2
UniProtKB:P13671	C6	Complement component C6
UniProtKB:Q9NVD3	SETD4	SET domain-containing protein 4
UniProtKB:P25025	CXCR2	C-X-C chemokine receptor type 2
UniProtKB:A6NK06	ACOD1	Cis-aconitate decarboxylase
UniProtKB:P50993	ATP1A2	Sodium/potassium-transporting ATPase subunit alpha-2
UniProtKB:P56470	LGALS4	Galectin-4
UniProtKB:P08949	NMB	Neuromedin-B
UniProtKB:P55774	CCL18	C-C motif chemokine 18
UniProtKB:P55773	CCL23	C-C motif chemokine 23
UniProtKB:Q9BZW8	CD244	Natural killer cell receptor 2B4
UniProtKB:P08908	HTR1A	5-hydroxytryptamine receptor 1A
UniProtKB:P82094	TMF1	TATA element modulatory factor
UniProtKB:P35247	SFTPD	Pulmonary surfactant-associated protein D
UniProtKB:A0A087WT01	TRAV27	T cell receptor alpha variable 27
UniProtKB:P35232	PHB1	Prohibitin 1
UniProtKB:P35228	NOS2	Nitric oxide synthase, inducible
UniProtKB:O14613	CDC42EP2	Cdc42 effector protein 2
UniProtKB:A0A075B6R0	TRGV2	T cell receptor gamma variable 2
UniProtKB:P28336	NMBR	Neuromedin-B receptor
UniProtKB:P28335	HTR2C	5-hydroxytryptamine receptor 2C
UniProtKB:P01137	TGFB1	Transforming growth factor beta-1 proprotein
UniProtKB:Q96C90	PPP1R14B	Protein phosphatase 1 regulatory subunit 14B
UniProtKB:P01112	HRAS	GTPase HRas
UniProtKB:Q05655	PRKCD	Protein kinase C delta type
UniProtKB:Q15363	TMED2	Transmembrane emp24 domain-containing protein 2
UniProtKB:Q99572	P2RX7	P2X purinoceptor 7
UniProtKB:P43243	MATR3	Matrin-3
UniProtKB:P38571	LIPA	Lysosomal acid lipase/cholesteryl ester hydrolase
UniProtKB:Q9Y4K3	TRAF6	TNF receptor-associated factor 6
UniProtKB:P06681	C2	Complement C2
UniProtKB:P11309	PIM1	Serine/threonine-protein kinase pim-1
UniProtKB:Q15842	KCNJ8	ATP-sensitive inward rectifier potassium channel 8
UniProtKB:Q15836	VAMP3	Vesicle-associated membrane protein 3
UniProtKB:P21580	TNFAIP3	Tumor necrosis factor alpha-induced protein 3
UniProtKB:A6NC98	CCDC88B	Coiled-coil domain-containing protein 88B
UniProtKB:P80162	CXCL6	C-X-C motif chemokine 6
UniProtKB:P21917	DRD4	D(4) dopamine receptor
UniProtKB:P08174	CD55	Complement decay-accelerating factor
UniProtKB:Q9HBG7	LY9	T-lymphocyte surface antigen Ly-9
UniProtKB:Q7Z2W4	ZC3HAV1	Zinc finger CCCH-type antiviral protein 1
UniProtKB:Q05940	SLC18A2	Synaptic vesicular amine transporter
UniProtKB:Q7RTR0	NLRP9	NACHT, LRR and PYD domains-containing protein 9
UniProtKB:Q9HBJ7	USP29	Ubiquitin carboxyl-terminal hydrolase 29
UniProtKB:Q96AK3	APOBEC3D	DNA dC->dU-editing enzyme APOBEC-3D
UniProtKB:P11678	EPX	Eosinophil peroxidase
UniProtKB:Q92841	DDX17	Probable ATP-dependent RNA helicase DDX17
UniProtKB:Q92844	TANK	TRAF family member-associated NF-kappa-B activator
UniProtKB:Q8N2H9	PELI3	E3 ubiquitin-protein ligase pellino homolog 3
UniProtKB:Q92583	CCL17	C-C motif chemokine 17
UniProtKB:Q8N2G4	LYPD1	Ly6/PLAUR domain-containing protein 1
UniProtKB:Q9HC23	PROK2	Prokineticin-2
UniProtKB:Q96B21	TMEM45B	Transmembrane protein 45B
UniProtKB:Q07021	C1QBP	Complement component 1 Q subcomponent-binding protein, mitochondrial
UniProtKB:P80098	CCL7	C-C motif chemokine 7
UniProtKB:P33241	LSP1	Lymphocyte-specific protein 1
UniProtKB:P48740	MASP1	Mannan-binding lectin serine protease 1
UniProtKB:P16885	PLCG2	1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase gamma-2
UniProtKB:P48736	PIK3CG	Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform
UniProtKB:P16871	IL7R	Interleukin-7 receptor subunit alpha
UniProtKB:P01042	KNG1	Kininogen-1
UniProtKB:P01034	CST3	Cystatin-C
UniProtKB:P01033	TIMP1	Metalloproteinase inhibitor 1
UniProtKB:P01031	C5	Complement C5
UniProtKB:Q99603	TRGV9	T cell receptor gamma variable 9
UniProtKB:P01024	C3	Complement C3
UniProtKB:Q8IZK6	MCOLN2	Mucolipin-2
UniProtKB:P01011	SERPINA3	Alpha-1-antichymotrypsin
UniProtKB:Q99623	PHB2	Prohibitin-2
UniProtKB:P01009	SERPINA1	Alpha-1-antitrypsin
UniProtKB:Q05513	PRKCZ	Protein kinase C zeta type
UniProtKB:P38484	IFNGR2	Interferon gamma receptor 2
UniProtKB:Q92956	TNFRSF14	Tumor necrosis factor receptor superfamily member 14
UniProtKB:Q99685	MGLL	Monoglyceride lipase
UniProtKB:P31749	AKT1	RAC-alpha serine/threonine-protein kinase
UniProtKB:Q7L0X0	TRIL	TLR4 interactor with leucine rich repeats
UniProtKB:Q8WTX9	ZDHHC1	Palmitoyltransferase ZDHHC1
UniProtKB:P43116	PTGER2	Prostaglandin E2 receptor EP2 subtype
UniProtKB:P43115	PTGER3	Prostaglandin E2 receptor EP3 subtype
UniProtKB:O76082	SLC22A5	Organic cation/carnitine transporter 2
UniProtKB:Q15797	SMAD1	Mothers against decapentaplegic homolog 1
UniProtKB:Q15784	NEUROD2	Neurogenic differentiation factor 2
UniProtKB:Q8WXI8	CLEC4D	C-type lectin domain family 4 member D
UniProtKB:P11226	MBL2	Mannose-binding protein C
UniProtKB:P11215	ITGAM	Integrin alpha-M
UniProtKB:W6CW81	PYDC5	Pyrin domain-containing protein 5
UniProtKB:Q8WXG1	RSAD2	S-adenosylmethionine-dependent nucleotide dehydratase RSAD2
UniProtKB:P80075	CCL8	C-C motif chemokine 8
UniProtKB:Q10589	BST2	Bone marrow stromal antigen 2
UniProtKB:Q8NE71	ABCF1	ATP-binding cassette sub-family F member 1
UniProtKB:P01308	INS	Insulin
UniProtKB:P43489	TNFRSF4	Tumor necrosis factor receptor superfamily member 4
UniProtKB:A0JD37	TRDV3	T cell receptor delta variable 3
UniProtKB:A0JD36	TRDV2	T cell receptor delta variable 2
UniProtKB:Q05823	RNASEL	2-5A-dependent ribonuclease
UniProtKB:Q8N1L9	BATF2	Basic leucine zipper transcriptional factor ATF-like 2
UniProtKB:Q9HCL2	GPAM	Glycerol-3-phosphate acyltransferase 1, mitochondrial
UniProtKB:P06899	H2BC11	Histone H2B type 1-J
UniProtKB:P43403	ZAP70	Tyrosine-protein kinase ZAP-70
UniProtKB:O76036	NCR1	Natural cytotoxicity triggering receptor 1
UniProtKB:Q8N1E2	LYG1	Lysozyme g-like protein 1
UniProtKB:Q9NR97	TLR8	Toll-like receptor 8
UniProtKB:P06850	CRH	Corticoliberin
UniProtKB:Q8TDB6	DTX3L	E3 ubiquitin-protein ligase DTX3L
UniProtKB:Q9HCY8	S100A14	Protein S100-A14
UniProtKB:P21796	VDAC1	Voltage-dependent anion-selective channel protein 1
UniProtKB:P48960	ADGRE5	Adhesion G protein-coupled receptor E5
UniProtKB:A4D0T7	SMIM30	Small integral membrane protein 30
UniProtKB:P21731	TBXA2R	Thromboxane A2 receptor
UniProtKB:P21730	C5AR1	C5a anaphylatoxin chemotactic receptor 1
UniProtKB:P21728	DRD1	D(1A) dopamine receptor
UniProtKB:P26715	KLRC1	NKG2-A/NKG2-B type II integral membrane protein
UniProtKB:P01258	CALCA	Calcitonin
UniProtKB:Q99616	CCL13	C-C motif chemokine 13
UniProtKB:Q8N149	LILRA2	Leukocyte immunoglobulin-like receptor subfamily A member 2
UniProtKB:Q5TEJ8	THEMIS2	Protein THEMIS2
UniProtKB:P01210	PENK	Proenkephalin-A
UniProtKB:Q8WXF1	PSPC1	Paraspeckle component 1
UniProtKB:Q15744	CEBPE	CCAAT/enhancer-binding protein epsilon
UniProtKB:Q15743	GPR68	Ovarian cancer G-protein coupled receptor 1
UniProtKB:P07998	RNASE1	Ribonuclease pancreatic
UniProtKB:P53355	DAPK1	Death-associated protein kinase 1
UniProtKB:P19878	NCF2	Neutrophil cytosol factor 2
UniProtKB:P31995	FCGR2C	Low affinity immunoglobulin gamma Fc region receptor II-c
UniProtKB:P34897	SHMT2	Serine hydroxymethyltransferase, mitochondrial
UniProtKB:P21462	FPR1	fMet-Leu-Phe receptor
UniProtKB:P47992	XCL1	Lymphotactin
UniProtKB:P59044	NLRP6	NACHT, LRR and PYD domains-containing protein 6
UniProtKB:Q8WWZ1	IL1F10	Interleukin-1 family member 10
UniProtKB:Q99969	RARRES2	Retinoic acid receptor responder protein 2
UniProtKB:Q99966	CITED1	Cbp/p300-interacting transactivator 1
UniProtKB:P43088	PTGFR	Prostaglandin F2-alpha receptor
UniProtKB:Q53G44	IFI44L	Interferon-induced protein 44-like
UniProtKB:Q8WWQ8	STAB2	Stabilin-2
UniProtKB:P43119	PTGIR	Prostacyclin receptor
UniProtKB:P01023	A2M	Alpha-2-macroglobulin
UniProtKB:P31644	GABRA5	Gamma-aminobutyric acid receptor subunit alpha-5
UniProtKB:Q53HC0	CCDC92	Coiled-coil domain-containing protein 92
UniProtKB:P01579	IFNG	Interferon gamma
UniProtKB:P01570	IFNA14	Interferon alpha-14
UniProtKB:P01567	IFNA7	Interferon alpha-7
UniProtKB:P01562	IFNA1	Interferon alpha-1/13
UniProtKB:O94992	HEXIM1	Protein HEXIM1
UniProtKB:Q9BZS1	FOXP3	Forkhead box protein P3
UniProtKB:P80217	IFI35	Interferon-induced 35 kDa protein
UniProtKB:P08246	ELANE	Neutrophil elastase
UniProtKB:Q8N423	LILRB2	Leukocyte immunoglobulin-like receptor subfamily B member 2
UniProtKB:Q9Y2G2	CARD8	Caspase recruitment domain-containing protein 8
UniProtKB:P55087	AQP4	Aquaporin-4
UniProtKB:P55085	F2RL1	Proteinase-activated receptor 2
UniProtKB:A6NCK2	TRIM43B	Tripartite motif-containing protein 43B
UniProtKB:O00585	CCL21	C-C motif chemokine 21
UniProtKB:Q7Z434	MAVS	Mitochondrial antiviral-signaling protein
UniProtKB:O00590	ACKR2	Atypical chemokine receptor 2
UniProtKB:P43629	KIR3DL1	Killer cell immunoglobulin-like receptor 3DL1
UniProtKB:P55008	AIF1	Allograft inflammatory factor 1
UniProtKB:Q9Y2K6	USP20	Ubiquitin carboxyl-terminal hydrolase 20
UniProtKB:P18428	LBP	Lipopolysaccharide-binding protein
UniProtKB:P31994	FCGR2B	Low affinity immunoglobulin gamma Fc region receptor II-b
UniProtKB:Q8N104	DEFB106A	Beta-defensin 106
UniProtKB:Q99467	CD180	CD180 antigen
UniProtKB:Q8IXQ6	PARP9	Protein mono-ADP-ribosyltransferase PARP9
UniProtKB:P31941	APOBEC3A	DNA dC->dU-editing enzyme APOBEC-3A
UniProtKB:Q99497	PARK7	Parkinson disease protein 7
UniProtKB:Q99683	MAP3K5	Mitogen-activated protein kinase kinase kinase 5
UniProtKB:Q96C12	ARMC5	Armadillo repeat-containing protein 5
UniProtKB:P06730	EIF4E	Eukaryotic translation initiation factor 4E
UniProtKB:Q15942	ZYX	Zyxin
UniProtKB:P21246	PTN	Pleiotrophin
UniProtKB:P06729	CD2	T-cell surface antigen CD2
UniProtKB:P06727	APOA4	Apolipoprotein A-IV
UniProtKB:P53567	CEBPG	CCAAT/enhancer-binding protein gamma
UniProtKB:P33076	CIITA	MHC class II transactivator
UniProtKB:Q8WZA1	POMGNT1	Protein O-linked-mannose beta-1,2-N-acetylglucosaminyltransferase 1
UniProtKB:Q4KMQ2	ANO6	Anoctamin-6
UniProtKB:Q8NER1	TRPV1	Transient receptor potential cation channel subfamily V member 1
UniProtKB:P43005	SLC1A1	Excitatory amino acid transporter 3
UniProtKB:Q15661	TPSAB1	Tryptase alpha/beta-1
UniProtKB:Q15653	NFKBIB	NF-kappa-B inhibitor beta
UniProtKB:Q15646	OASL	2'-5'-oligoadenylate synthase-like protein
UniProtKB:Q08AE8	SPIRE1	Protein spire homolog 1
UniProtKB:Q53H80	AKIRIN2	Akirin-2
UniProtKB:Q9Y624	F11R	Junctional adhesion molecule A
UniProtKB:P48551	IFNAR2	Interferon alpha/beta receptor 2
UniProtKB:Q06830	PRDX1	Peroxiredoxin-1
UniProtKB:Q08722	CD47	Leukocyte surface antigen CD47
UniProtKB:O00743	PPP6C	Serine/threonine-protein phosphatase 6 catalytic subunit
UniProtKB:Q9Y5S8	NOX1	NADPH oxidase 1
UniProtKB:P16671	CD36	Platelet glycoprotein 4
UniProtKB:P80511	S100A12	Protein S100-A12
UniProtKB:Q8N6Q3	CD177	CD177 antigen
UniProtKB:Q8N6P7	IL22RA1	Interleukin-22 receptor subunit alpha-1
UniProtKB:Q9P0N8	MARCHF2	E3 ubiquitin-protein ligase MARCHF2
UniProtKB:Q9NZK7	PLA2G2E	Group IIE secretory phospholipase A2
UniProtKB:P60022	DEFB1	Beta-defensin 1
UniProtKB:Q86WV6	STING1	Stimulator of interferon genes protein
UniProtKB:P23497	SP100	Nuclear autoantigen Sp-100
UniProtKB:Q92637	FCGR1BP	Putative high affinity immunoglobulin gamma Fc receptor IB
UniProtKB:Q7Z6P3	RAB44	Ras-related protein Rab-44
UniProtKB:P23458	JAK1	Tyrosine-protein kinase JAK1
UniProtKB:P46663	BDKRB1	B1 bradykinin receptor
UniProtKB:P23443	RPS6KB1	Ribosomal protein S6 kinase beta-1
UniProtKB:Q96QS1	TSPAN32	Tetraspanin-32
UniProtKB:Q07817	BCL2L1	Bcl-2-like protein 1
UniProtKB:Q8N9V2	TRIML1	Probable E3 ubiquitin-protein ligase TRIML1
UniProtKB:P08887	IL6R	Interleukin-6 receptor subunit alpha
UniProtKB:P13521	SCG2	Secretogranin-2
UniProtKB:P13501	CCL5	C-C motif chemokine 5
UniProtKB:P13500	CCL2	C-C motif chemokine 2
UniProtKB:P51575	P2RX1	P2X purinoceptor 1
UniProtKB:Q9BV40	VAMP8	Vesicle-associated membrane protein 8
UniProtKB:Q8TD07	RAET1E	Retinoic acid early transcript 1E
UniProtKB:Q9HCE1	MOV10	Helicase MOV-10
UniProtKB:Q86WN2	IFNE	Interferon epsilon
UniProtKB:P58215	LOXL3	Lysyl oxidase homolog 3
UniProtKB:Q9H0E2	TOLLIP	Toll-interacting protein
UniProtKB:Q9H0E7	USP44	Ubiquitin carboxyl-terminal hydrolase 44
UniProtKB:Q8IWE5	PLEKHM2	Pleckstrin homology domain-containing family M member 2
UniProtKB:Q5NUL3	FFAR4	Free fatty acid receptor 4
UniProtKB:Q86WI3	NLRC5	Protein NLRC5
UniProtKB:P14920	DAO	D-amino-acid oxidase
UniProtKB:P61764	STXBP1	Syntaxin-binding protein 1
UniProtKB:P14902	IDO1	Indoleamine 2,3-dioxygenase 1
UniProtKB:Q15025	TNIP1	TNFAIP3-interacting protein 1
UniProtKB:Q9HBY0	NOX3	NADPH oxidase 3
UniProtKB:O00187	MASP2	Mannan-binding lectin serine protease 2
UniProtKB:O00186	STXBP3	Syntaxin-binding protein 3
UniProtKB:O00182	LGALS9	Galectin-9
UniProtKB:O00175	CCL24	C-C motif chemokine 24
UniProtKB:O00161	SNAP23	Synaptosomal-associated protein 23
UniProtKB:P41226	UBA7	Ubiquitin-like modifier-activating enzyme 7
UniProtKB:P41221	WNT5A	Protein Wnt-5a
UniProtKB:O95832	CLDN1	Claudin-1
UniProtKB:O75369	FLNB	Filamin-B
UniProtKB:O95801	TTC4	Tetratricopeptide repeat protein 4
UniProtKB:O75326	SEMA7A	Semaphorin-7A
UniProtKB:P17213	BPI	Bactericidal permeability-increasing protein
UniProtKB:P52630	STAT2	Signal transducer and activator of transcription 2
UniProtKB:Q9Y5Z7	HCFC2	Host cell factor 2
UniProtKB:P32119	PRDX2	Peroxiredoxin-2
