RNAcentral:URS0000338542_9606	URS0000338542_9606	Homo sapiens (human) hsa-miR-155-5p
UniProtKB:P29317	EPHA2	Ephrin type-A receptor 2
UniProtKB:P17927	CR1	Complement receptor type 1
UniProtKB:Q9UNA0	ADAMTS5	A disintegrin and metalloproteinase with thrombospondin motifs 5
UniProtKB:P32881	IFNA8	Interferon alpha-8
UniProtKB:Q96KP6	TNIP3	TNFAIP3-interacting protein 3
UniProtKB:P30556	AGTR1	Type-1 angiotensin II receptor
UniProtKB:P00973	OAS1	2'-5'-oligoadenylate synthase 1
UniProtKB:P00966	ASS1	Argininosuccinate synthase
UniProtKB:P46531	NOTCH1	Neurogenic locus notch homolog protein 1
UniProtKB:Q9BYM8	RBCK1	RanBP-type and C3HC4-type zinc finger-containing protein 1
UniProtKB:P26022	PTX3	Pentraxin-related protein PTX3
UniProtKB:Q6ZWJ1	STXBP4	Syntaxin-binding protein 4
UniProtKB:O14625	CXCL11	C-X-C motif chemokine 11
UniProtKB:Q9BYG8	GSDMC	Gasdermin-C
UniProtKB:P09917	ALOX5	Polyunsaturated fatty acid 5-lipoxygenase
UniProtKB:P09914	IFIT1	Interferon-induced protein with tetratricopeptide repeats 1
UniProtKB:P09913	IFIT2	Interferon-induced protein with tetratricopeptide repeats 2
UniProtKB:P09912	IFI6	Interferon alpha-inducible protein 6
UniProtKB:P36269	GGT5	Glutathione hydrolase 5 proenzyme
UniProtKB:A0A0C4DH28	TRGV4	T cell receptor gamma variable 4
UniProtKB:A0A0C4DH27	TRGV8	T cell receptor gamma variable 8
UniProtKB:P36222	CHI3L1	Chitinase-3-like protein 1
UniProtKB:Q07444	KLRC3	NKG2-E type II integral membrane protein
UniProtKB:P78380	OLR1	Oxidized low-density lipoprotein receptor 1
UniProtKB:Q13546	RIPK1	Receptor-interacting serine/threonine-protein kinase 1
UniProtKB:Q08881	ITK	Tyrosine-protein kinase ITK/TSK
UniProtKB:Q6NTF7	APOBEC3H	DNA dC->dU-editing enzyme APOBEC-3H
UniProtKB:P78362	SRPK2	SRSF protein kinase 2
UniProtKB:Q13530	SERINC3	Serine incorporator 3
UniProtKB:P51168	SCNN1B	Amiloride-sensitive sodium channel subunit beta
UniProtKB:P51159	RAB27A	Ras-related protein Rab-27A
UniProtKB:P78348	ASIC1	Acid-sensing ion channel 1
UniProtKB:P78325	ADAM8	Disintegrin and metalloproteinase domain-containing protein 8
UniProtKB:P78324	SIRPA	Tyrosine-protein phosphatase non-receptor type substrate 1
UniProtKB:P51124	GZMM	Granzyme M
UniProtKB:Q08828	ADCY1	Adenylate cyclase type 1
UniProtKB:Q9BXS9	SLC26A6	Solute carrier family 26 member 6
UniProtKB:P14598	NCF1	Neutrophil cytosol factor 1
UniProtKB:Q9BXR6	CFHR5	Complement factor H-related protein 5
UniProtKB:Q9BXR5	TLR10	Toll-like receptor 10
UniProtKB:Q9BY10	SLC46A2	Solute carrier family 46 member 2
UniProtKB:Q8N688	DEFB123	Beta-defensin 123
UniProtKB:P14555	PLA2G2A	Phospholipase A2, membrane associated
UniProtKB:P09874	PARP1	Poly [ADP-ribose] polymerase 1
UniProtKB:P09871	C1S	Complement C1s subcomponent
UniProtKB:Q86SG7	LYG2	Lysozyme g-like protein 2
UniProtKB:P43630	KIR3DL2	Killer cell immunoglobulin-like receptor 3DL2
UniProtKB:O15554	KCNN4	Intermediate conductance calcium-activated potassium channel protein 4
UniProtKB:O15553	MEFV	Pyrin
UniProtKB:O15552	FFAR2	Free fatty acid receptor 2
UniProtKB:P04279	SEMG1	Semenogelin-1
UniProtKB:Q13478	IL18R1	Interleukin-18 receptor 1
UniProtKB:P42229	STAT5A	Signal transducer and activator of transcription 5A
UniProtKB:Q9Y258	CCL26	C-C motif chemokine 26
UniProtKB:Q9H257	CARD9	Caspase recruitment domain-containing protein 9
UniProtKB:Q9Y263	PLAA	Phospholipase A-2-activating protein
UniProtKB:Q9Y279	VSIG4	V-set and immunoglobulin domain-containing protein 4
UniProtKB:Q5VWQ8	DAB2IP	Disabled homolog 2-interacting protein
UniProtKB:Q9UK97	FBXO9	F-box only protein 9
UniProtKB:Q9P296	C5AR2	C5a anaphylatoxin chemotactic receptor 2
UniProtKB:P07360	C8G	Complement component C8 gamma chain
UniProtKB:Q16570	ACKR1	Atypical chemokine receptor 1
UniProtKB:P07358	C8B	Complement component C8 beta chain
UniProtKB:Q16566	CAMK4	Calcium/calmodulin-dependent protein kinase type IV
UniProtKB:Q16557	PSG3	Pregnancy-specific beta-1-glycoprotein 3
