deg	cis_driven	Class	Tissue	Trait	gene
MPP3	0	Not_cis-driven	MuscleSkeletal	Sex	MPP3
MRPS23	0	Not_cis-driven	MuscleSkeletal	Sex	MRPS23
GPRC5C	0	Not_cis-driven	MuscleSkeletal	Sex	GPRC5C
RNF157	0	Not_cis-driven	MuscleSkeletal	Sex	RNF157
LGALS3BP	0	Not_cis-driven	MuscleSkeletal	Sex	LGALS3BP
MAPRE2	0	Not_cis-driven	MuscleSkeletal	Sex	MAPRE2
RTTN	0	Not_cis-driven	MuscleSkeletal	Sex	RTTN
RYR1	0	Not_cis-driven	MuscleSkeletal	Sex	RYR1
GGT7	1	Cis-driven	MuscleSkeletal	Sex	GGT7
TTPAL	0	Not_cis-driven	MuscleSkeletal	Sex	TTPAL
NCOA3	0	Not_cis-driven	MuscleSkeletal	Sex	NCOA3
PTGIS	0	Not_cis-driven	MuscleSkeletal	Sex	PTGIS
FAM210B	0	Not_cis-driven	MuscleSkeletal	Sex	FAM210B
GMEB2	0	Not_cis-driven	MuscleSkeletal	Sex	GMEB2
RUNX1	0	Not_cis-driven	MuscleSkeletal	Sex	RUNX1
DOPEY2	0	Not_cis-driven	MuscleSkeletal	Sex	DOPEY2
PPM1F	0	Not_cis-driven	MuscleSkeletal	Sex	PPM1F
BCR	0	Not_cis-driven	MuscleSkeletal	Sex	BCR
KREMEN1	0	Not_cis-driven	MuscleSkeletal	Sex	KREMEN1
ASCC2	0	Not_cis-driven	MuscleSkeletal	Sex	ASCC2
PLA2G6	0	Not_cis-driven	MuscleSkeletal	Sex	PLA2G6
ATF4	0	Not_cis-driven	MuscleSkeletal	Sex	ATF4
PARVB	0	Not_cis-driven	MuscleSkeletal	Sex	PARVB
NCAPH2	0	Not_cis-driven	MuscleSkeletal	Sex	NCAPH2
NID1	1	Cis-driven	Testis	Age	NID1
ARHGAP15	1	Cis-driven	Testis	Age	ARHGAP15
SCN9A	1	Cis-driven	Testis	Age	SCN9A
IRX4	1	Cis-driven	Testis	Age	IRX4
CXCL14	1	Cis-driven	Testis	Age	CXCL14
CD74	0	Not_cis-driven	Testis	Age	CD74
STC2	0	Not_cis-driven	Testis	Age	STC2
AEBP1	1	Cis-driven	Testis	Age	AEBP1
GATA4	1	Cis-driven	Testis	Age	GATA4
EBF2	0	Not_cis-driven	Testis	Age	EBF2
PDZD7	0	Not_cis-driven	Testis	Age	PDZD7
IFITM1	0	Not_cis-driven	Testis	Age	IFITM1
MYCBP2	1	Cis-driven	Testis	Age	MYCBP2
NALCN	1	Cis-driven	Testis	Age	NALCN
NR2F2	0	Not_cis-driven	Testis	Age	NR2F2
CILP2	1	Cis-driven	Testis	Age	CILP2
KIRREL2	0	Not_cis-driven	Testis	Age	KIRREL2
SLC13A3	1	Cis-driven	Testis	Age	SLC13A3
AHCYL1	1	Cis-driven	Testis	Ancestry	AHCYL1
ACKR1	0	Not_cis-driven	Testis	Ancestry	ACKR1
OPTC	0	Not_cis-driven	Testis	Ancestry	OPTC
M1AP	0	Not_cis-driven	Testis	Ancestry	M1AP
SUMF1	1	Cis-driven	Testis	Ancestry	SUMF1
BTD	1	Cis-driven	Testis	Ancestry	BTD
ABHD5	1	Cis-driven	Testis	Ancestry	ABHD5
EEFSEC	1	Cis-driven	Testis	Ancestry	EEFSEC
DGKG	0	Not_cis-driven	Testis	Ancestry	DGKG
EVC	1	Cis-driven	Testis	Ancestry	EVC
NPNT	1	Cis-driven	Testis	Ancestry	NPNT
PDCD6	1	Cis-driven	Testis	Ancestry	PDCD6
SPOCK1	0	Not_cis-driven	Testis	Ancestry	SPOCK1
TMEM14C	1	Cis-driven	Testis	Ancestry	TMEM14C
RPL10A	1	Cis-driven	Testis	Ancestry	RPL10A
SEC63	1	Cis-driven	Testis	Ancestry	SEC63
ULBP1	1	Cis-driven	Testis	Ancestry	ULBP1
TMEM120A	1	Cis-driven	Testis	Ancestry	TMEM120A
TDRP	0	Not_cis-driven	Testis	Ancestry	TDRP
FAM66B	1	Cis-driven	Testis	Ancestry	FAM66B
EXT1	1	Cis-driven	Testis	Ancestry	EXT1
EMX2	0	Not_cis-driven	Testis	Ancestry	EMX2
DMBT1	0	Not_cis-driven	Testis	Ancestry	DMBT1
CTTN	1	Cis-driven	Testis	Ancestry	CTTN
SLC37A4	1	Cis-driven	Testis	Ancestry	SLC37A4
RAD51AP1	1	Cis-driven	Testis	Ancestry	RAD51AP1
CUX2	0	Not_cis-driven	Testis	Ancestry	CUX2
ARL6IP4	1	Cis-driven	Testis	Ancestry	ARL6IP4
XPO4	1	Cis-driven	Testis	Ancestry	XPO4
FAM155A	1	Cis-driven	Testis	Ancestry	FAM155A
NDRG2	0	Not_cis-driven	Testis	Ancestry	NDRG2
MPHOSPH6	1	Cis-driven	Testis	Ancestry	MPHOSPH6
ZNF611	1	Cis-driven	Testis	Ancestry	ZNF611
CERK	0	Not_cis-driven	Testis	Ancestry	CERK
NA	NA	NA	Testis	Sex	
ABLIM1	1	Cis-driven	WholeBlood	Age	
LMNA	1	Cis-driven	WholeBlood	Ancestry	LMNA
RGS1	0	Not_cis-driven	WholeBlood	Ancestry	RGS1
SH3RF3	1	Cis-driven	WholeBlood	Ancestry	SH3RF3
DOCK10	0	Not_cis-driven	WholeBlood	Ancestry	DOCK10
PLD1	0	Not_cis-driven	WholeBlood	Ancestry	PLD1
UVSSA	1	Cis-driven	WholeBlood	Ancestry	UVSSA
AFAP1	1	Cis-driven	WholeBlood	Ancestry	AFAP1
CXCL8	0	Not_cis-driven	WholeBlood	Ancestry	CXCL8
SLC12A7	0	Not_cis-driven	WholeBlood	Ancestry	SLC12A7
YTHDC2	1	Cis-driven	WholeBlood	Ancestry	YTHDC2
NRN1	0	Not_cis-driven	WholeBlood	Ancestry	NRN1
TMEM14C	0	Not_cis-driven	WholeBlood	Ancestry	TMEM14C
IQCE	0	Not_cis-driven	WholeBlood	Ancestry	IQCE
SLC39A4	1	Cis-driven	WholeBlood	Ancestry	SLC39A4
CAMK1D	0	Not_cis-driven	WholeBlood	Ancestry	CAMK1D
SLC29A3	0	Not_cis-driven	WholeBlood	Ancestry	SLC29A3
CEP164	0	Not_cis-driven	WholeBlood	Ancestry	CEP164
SNX19	0	Not_cis-driven	WholeBlood	Ancestry	SNX19
MCRS1	0	Not_cis-driven	WholeBlood	Ancestry	MCRS1
FAM109A	0	Not_cis-driven	WholeBlood	Ancestry	FAM109A
FBXW8	0	Not_cis-driven	WholeBlood	Ancestry	FBXW8
DHRS4	1	Cis-driven	WholeBlood	Ancestry	DHRS4
WDR90	0	Not_cis-driven	WholeBlood	Ancestry	WDR90
RNF135	1	Cis-driven	WholeBlood	Ancestry	RNF135
ANKLE1	0	Not_cis-driven	WholeBlood	Ancestry	ANKLE1
EBF4	2	Cis-driven	WholeBlood	Ancestry	EBF4
COL6A2	0	Not_cis-driven	WholeBlood	Ancestry	COL6A2
